SMILES,Vina Score,Molecular Weight,verdict,failures
C[C@@H]1COc2c(F)c(F)cc3c(=O)c(C(=O)N4CC(n5nc(-c6cccc(F)c6)ccc5=O)C4)cn1c23,-12.45,508.4560000000002,PASS,
C[C@H]1COc2c(F)c(F)cc3c(=O)c(C(=O)N4CCN(c5ncnc6c5nnn6-c5cccc(F)c5)CC4)cn1c23,-12.32,562.5120000000001,PASS,
C[C@H]1COc2c(F)c(F)cc3c(=O)c(C(=O)N4CCN(Cc5nnnn5-c5cccc(F)c5)CC4)cn1c23,-12.03,525.4910000000002,PASS,
CC(=O)N1CCN(c2cc(N3CC(=O)N4CC(C)(C)c5ccccc5[C@@H]4C3)nc(-c3cccnc3)n2)CC1,-12.02,511.6300000000003,PASS,
Cc1ccnc(N=c2ccc(N3CCN(C(=O)c4cn5c6c(c(F)c(F)cc6c4=O)OC[C@@H]5C)CC3)n[nH]2)c1,-12.0,533.5390000000003,PASS,
CC(=O)N1CCN(c2cc(N3CCNC(=O)[C@H]3c3cn(C)c4ccccc34)nc(-c3ccc(F)cc3)n2)CC1,-11.76,527.6040000000002,PASS,
C[C@@H]1COc2c(F)c(F)cc3c(=O)c(C(=O)N4CCN(c5ccnc(N6CCCCC6)n5)CC4)cn1c23,-11.64,510.5450000000004,PASS,
C=CC(=O)N1CCN(c2nc(N3CC(N(C)C)C3)nc3c2C[C@@H](C)[C@H](c2c(Cl)ccc4n[nH]cc24)C3)CC1,-11.53,535.0960000000001,PASS,
O=C([C@H]1CC(=O)N(c2ccccc2F)C1)N1CCN(C(=O)[C@@H]2CC(=O)N(c3cccc(C(F)(F)F)c3)C2)CC1,-11.52,546.521,PASS,
CN1CCN(c2ccc(N3CCN(C(=O)[C@@H]4CCCN4S(=O)(=O)c4c(Cl)cccc4Cl)CC3)nn2)CC1,-11.49,568.531,PASS,
Cc1ccc(F)cc1C(=O)N1CCN(c2nc3nccc(-c4ccc(N5CCOCC5)cc4)n3n2)CC1,-11.49,501.5660000000004,PASS,
Cc1cc(C)n(-c2ccc(N3CCN(C(=O)c4cn5c6c(c(F)c(F)cc6c4=O)OC[C@@H]5C)CC3)nn2)n1,-11.49,521.5280000000002,PASS,
CC(C)(C)c1nc(N2CCN(c3ncccn3)CC2)cc(N2CC(=O)N3CCc4c(F)cccc4[C@@H]3C2)n1,-11.41,516.6250000000003,PASS,
CC(=O)NS(=O)(=O)c1ccc(Nc2cc(N3CC(=O)N4CCc5c(F)cccc5[C@H]4C3)nc(C(C)C)n2)cc1,-11.39,552.6320000000003,PASS,
Cc1cc(C)n(-c2cc(N3CCN(C(=O)[C@@H]4CCCN4S(=O)(=O)c4c(Cl)cccc4Cl)CC3)nc(C)n2)n1,-11.34,578.526,PASS,
Cn1ncc2c(N3CCN(C(=O)C4CCN(S(=O)(=O)c5ccc6ccccc6c5)CC4)CC3)ncnc21,-11.33,519.6310000000003,PASS,
Cc1ccn(-c2ccc(N3CCN(C(=O)c4cn5c6c(c(F)c(F)cc6c4=O)OC[C@@H]5C)CC3)nn2)n1,-11.33,507.50100000000026,PASS,
Cc1cccc(S(=O)(=O)N2CCC[C@H]2C(=O)N2CCC(Cn3c(C)nc4cc(F)ccc4c3=O)CC2)c1,-11.32,526.6340000000004,PASS,
C[C@@H]1COc2c(F)c(F)cc3c(=O)c(C(=O)N4CCN(c5ncnc6c5nnn6Cc5ccccc5)CC4)cn1c23,-11.31,558.5490000000001,PASS,
O=C([C@H]1CC(=O)N(c2ccc3cc[nH]c3c2)C1)N1CCN(C(=O)[C@@H]2CC(=O)N(c3ccccc3F)C2)CC1,-11.29,517.5610000000003,PASS,
O=C(c1c(F)cccc1F)N1CCN(c2nc3nccc(-c4ccc(N5CCOCC5)cc4)n3n2)CC1,-11.27,505.52900000000034,PASS,
O=C([C@H]1CC(=O)N(c2cccc3ccccc23)C1)N1CCN(C(=O)[C@@H]2CC(=O)N(c3ccccc3F)C2)CC1,-11.26,528.5840000000003,PASS,
Cc1nc(N2CCN(C(=O)c3cn4c5c(c(F)c(F)cc5c3=O)OC[C@H]4C)CC2)cc(-n2cccn2)n1,-11.25,507.5010000000003,PASS,
C[C@@H]1COc2c(F)c(F)cc3c(=O)c(C(=O)N4CCN(c5cncc(-c6ccnn6C)n5)CC4)cn1c23,-11.24,507.50100000000026,PASS,
O=C([C@H]1CC(=O)N(c2ccccc2F)C1)N1CCN(C(=O)[C@@H]2CC(=O)N(c3ccc(F)c(F)c3)C2)CC1,-11.23,514.5040000000002,PASS,
Cn1c(C(=O)N2CCN(c3ncccn3)CC2)cc2c(N3CCN(c4ccc(F)cc4)CC3)ncnc21,-11.22,501.57000000000033,PASS,
O=C(C1CCN(S(=O)(=O)c2cc(F)ccc2F)CC1)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,-11.2,549.5680000000002,PASS,
C[C@@H]1COc2c(F)c(F)cc3c(=O)c(C(=O)N4CCN(c5cncc(N6CCCC6=O)n5)CC4)cn1c23,-11.2,510.5010000000004,PASS,
COc1cccc(N2C[C@H](C(=O)N3CCN(C(=O)[C@@H]4CC(=O)N(c5ccc(F)c(F)c5)C4)CC3)CC2=O)c1,-11.2,526.5400000000003,PASS,
C[C@@H]1CCCCN1c1ccc(N2CCN(C(=O)c3cn4c5c(c(F)c(F)cc5c3=O)OC[C@H]4C)CC2)nn1,-11.15,524.5720000000003,PASS,
CCCc1nc(N2CCN(c3ncccn3)CC2)cc(N2CC(=O)N3CCc4c(F)cccc4[C@H]3C2)n1,-11.12,502.59800000000035,PASS,
Cc1nc(N2CCN(C(=O)c3cn4c5c(c(F)c(F)cc5c3=O)OC[C@@H]4C)CC2)cc(-n2cnc(C)c2C)n1,-11.1,535.5550000000003,PASS,
Cc1c(Cl)cccc1N1C[C@H](C(=O)N2CCN(C(=O)[C@@H]3CC(=O)N(c4ccccc4F)C3)CC2)CC1=O,-11.09,526.9960000000003,PASS,
Cn1c(C(=O)N2CCN(c3ccccc3F)CC2)cc2c(N3CCN(Cc4ccccc4)CC3)ncnc21,-11.09,513.6210000000003,PASS,
COc1cccc(-c2nc(N3CCN(C)CC3)cc(N3CCN(C(=O)c4cc5ccccc5[nH]4)CC3)n2)c1,-11.09,511.6300000000003,PASS,
COc1cccc(-n2nnc3c(N4CCN(C(=O)[C@@H]5CCCN5S(=O)(=O)c5c(Cl)cccc5Cl)CC4)ncnc32)c1,-11.08,617.519,PASS,
Cc1noc(C)c1S(=O)(=O)N1CCC(C(=O)N2CCc3c(nc4cc(-c5ccccc5Cl)[nH]n4c3=O)C2)CC1,-11.07,571.0590000000001,PASS,
COc1cccc(-n2nnc3c(N4CCN(C(=O)[C@@H]5CC(=O)N(c6ccccc6C)C5)CC4)ncnc32)c1,-11.06,512.5740000000003,PASS,
Cn1c(C(=O)N2CCN(c3ccccn3)CC2)cc2c(N3CCN(c4ccc(F)cc4)CC3)ncnc21,-11.04,500.58200000000033,PASS,
CC(=O)N1CCCc2cc(S(=O)(=O)N3CCC(C(=O)N4CCN(c5ccc(Cl)cc5)CC4)CC3)ccc21,-11.04,545.1050000000004,PASS,
CC(=O)N1CCN(c2cc(N3CC(=O)N4CCc5c(F)cccc5[C@H]4C3)nc(-c3ccccc3C)n2)CC1,-11.03,514.6050000000001,PASS,
Cc1cccc(N2C[C@@H](C(=O)N3CCN(C(=O)[C@@H]4CC(=O)N(c5ccccc5F)C4)CC3)CC2=O)c1C,-11.03,506.5780000000004,PASS,
CC(C)c1nc(N2CCN(c3ncccn3)CC2)cc(N2CC(=O)N3CCc4c(F)cccc4[C@@H]3C2)n1,-11.03,502.59800000000035,PASS,
Cc1c(C(=O)N2CCN(c3ncnc4c3nnn4-c3cccc(F)c3)CC2)nnn1-c1ccccc1F,-11.03,502.4890000000002,PASS,
C[C@H]1CCCCN1c1ccc(N2CCN(C(=O)[C@@H]3CCCN3S(=O)(=O)c3ccccc3F)CC2)nn1,-11.02,516.6430000000003,PASS,
O=C1CN(C(=O)CCC(=O)N2CCc3c(nc4cc(-c5ccccc5Cl)[nH]n4c3=O)C2)c2ccccc2N1,-11.01,530.9720000000002,PASS,
Cc1nc2ccccc2c(=O)n1CC1CCN(C(=O)[C@H]2CCCN2S(=O)(=O)c2cccc(F)c2)CC1,-11.01,512.6070000000002,PASS,
CC(=O)N1CCN(c2cc(N3CCN4CCc5c(Cl)cccc5[C@H]4C3)nc(-c3cccnc3)n2)CC1,-11.0,504.03800000000024,PASS,
CC(C)c1ccc(N2C[C@@H](C(=O)N3CCN(C(=O)[C@H]4CC(=O)N(c5ccc(F)cc5)C4)CC3)CC2=O)cc1,-11.0,520.6050000000004,PASS,
